column name,column type,description,maximum,minimum
relationship_age_at_diagnosis,number,The age (in years) when the patient's relative was first diagnosed.,Not specified,Not specified
relatives_with_cancer_history_count,integer,The number of relatives the patient has with a known history of cancer.,Not specified,Not specified
age_at_diagnosis,number,"Age in days at which a condition or disease was first diagnosed. CDE: 3225640. TCGA has the age in years with CDE 2006657, this is converted by ceil(age*365.25) to get days.",Not specified,Not specified
days_to_death,number,"Time interval from a person's date of death to the date of initial pathologic diagnosis, represented as a calculated number of days. CDE: 3165475.",Not specified,Not specified
icd_10,string,"The tenth version of the International Classification of Disease (ICD), published by the World Health Organization in 1992. A system of numbered categories for representation of data. CDE: 3226287.",Not specified,Not specified
year_of_diagnosis,number,Numeric value to represent the year of an individual's initial pathologic diagnosis of cancer. CDE: 2896960.,Not specified,Not specified
germline_mutation_calling_workflows,,Not specified,Not specified,Not specified
somatic_annotation_workflows,,Not specified,Not specified,Not specified
days_to_best_overall_response,integer,Number of days between the date used for index and the date of the patient was thought to have the best overall response to their disease.,Not specified,Not specified
days_to_diagnosis,integer,Number of days between the date used for index and the date the patient was diagnosed with the malignant disease.,Not specified,Not specified
days_to_last_follow_up,,"Time interval from the date of last follow up to the date of initial pathologic diagnosis, represented as a calculated number of days.",32872,-32872
days_to_last_known_disease_status,,Number of days between the date used for index and the date the patient's disease status was known.,32872,-32872
diagnosis_is_primary_disease,boolean,"Indicates whether this specific diagnosis represents the disease that was the primary focus of the study. Additionally, this diagnosis is reflected at the case level, which is captured using the case.disease_type property.",Not specified,Not specified
gleason_patterns_percent,integer,"Numeric value that represents the percentage of Patterns 4 and 5, which is used when the Gleason score is greater than 7 to predict prognosis.",Not specified,Not specified
gleason_score,integer,The score derived from universally embraced prostate cancer grading system developed by Dr. Donald F. Gleason in 1977. The system provides a reproducible description of the glandular architecture of prostate tissue to which a pathologist assigns a score depending primarily on the microscopic patterns of cancerous glands and cell morphology,Not specified,Not specified
icd_10_code,string,Alphanumeric value used to describe the disease code from the tenth version of the International Classification of Disease (ICD-10).,Not specified,Not specified
margin_distance,number,Numeric value that represents the distance between the tumor and the surgical margin,Not specified,Not specified
primary_disease,boolean,Indicates whether the specific diagnosis represents the disease that was the primary focus of the study.,Not specified,Not specified
sites_of_involvement,array,The anatomic sites of disease involvement in addition to the primary anatomic site.,Not specified,Not specified
sites_of_involvement_count,integer,The number of anatomic sites of disease.,Not specified,Not specified
tumor_burden,number,"Refers to the number of cancer cells, the size of a tumor, or the amount of cancer in the body.",Not specified,Not specified
tumor_depth,number,"Numeric value that represents the depth of tumor invasion, measured in millimeters (mm).",Not specified,Not specified
weiss_assessment_findings,array,Histopathologic criteria to evaluate adrenocortical tumors.,Not specified,Not specified
percent_follicular_component,number,Numeric value that represents the percentage of follicular features found in a specific tissue sample.,Not specified,Not specified
percent_rhabdoid_features,number,Numeric value that represents the percentage of rhabdoid features found in a specific tissue sample.,Not specified,Not specified
percent_sarcomatoid_features,number,Numeric value that represents the percentage of sarcomatoid features found in a specific tissue sample.,Not specified,Not specified
percent_tumor_cells,number,Numeric value that represents the percentage of infiltration by tumor cells in a sample.,Not specified,Not specified
percent_normal_cells,number,Numeric value to represent the percentage of normal cell content in a malignant tumor sample or specimen.,Not specified,Not specified
percent_necrosis,number,Numeric value to represent the percentage of cell death in a malignant tumor sample or specimen.,Not specified,Not specified
percent_stromal_cells,number,"Numeric value to represent the percentage of reactive cells that are present in a malignant tumor sample or specimen but are not malignant such as fibroblasts, vascular structures, etc.",Not specified,Not specified
percent_inflam_infiltration,number,"Numeric value to represent local response to cellular injury, marked by capillary dilatation, edema and leukocyte infiltration; clinically, inflammation is manifest by reddness, heat, pain, swelling and loss of function, with the need to heal damaged tissue.",Not specified,Not specified
percent_lymphocyte_infiltration,number,Numeric value to represent the percentage of infiltration by lymphocytes in a solid tissue sample or specimen.,Not specified,Not specified
percent_monocyte_infiltration,number,Numeric value to represent the percentage of monocyte infiltration in a sample or specimen.,Not specified,Not specified
percent_granulocyte_infiltration,number,Numeric value to represent the percentage of infiltration by granulocytes in a tumor sample or specimen.,Not specified,Not specified
percent_neutrophil_infiltration,number,Numeric value to represent the percentage of infiltration by neutrophils in a tumor sample or specimen.,Not specified,Not specified
percent_eosinophil_infiltration,number,Numeric value to represent the percentage of infiltration by eosinophils in a tumor sample or specimen.,Not specified,Not specified
section_location,string,Tissue source of the slide.,Not specified,Not specified
tissue_microarray_coordinates,string,The alphanumeric term used to describe the coordinates of a specific tissue located on a tissue microarray slide.,Not specified,Not specified
pmid,string,Not specified,Not specified,Not specified
doi,string,Not specified,Not specified,Not specified
age_at_last_exposure,integer,The study participant's age at the time they were last exposed.,Not specified,Not specified
age_at_onset,integer,Numeric value used to represent the age of the patient when exposure to a specific environmental factor began.,Not specified,Not specified
alcohol_days_per_week,number,Numeric value used to describe the average number of days each week that a person consumes an alcoholic beverage.,Not specified,Not specified
alcohol_drinks_per_day,number,Numeric value used to describe the average number of alcoholic beverages a person consumes per day.,Not specified,Not specified
chemical_exposure_type,array,"The specific type of contact with a chemical substance through touch, inhalation, or ingestion.",Not specified,Not specified
cigarettes_per_day,number,The average number of cigarettes smoked per day.,Not specified,Not specified
exposure_duration_hrs_per_day,number,The duration (in hours per day) that a person was exposed.,Not specified,Not specified
exposure_duration_years,integer,"The period of time from start to finish of exposure, in years.",Not specified,Not specified
occupation_duration_years,integer,The number of years a patient worked in a specific occupation.,Not specified,Not specified
occupation_type,array,"A categorization of the principal activity that a person does to earn money, as defined by the International Classification of Occupation (ISCO).",Not specified,Not specified
pack_years_smoked,number,Numeric computed value to represent lifetime tobacco exposure defined as number of cigarettes smoked per day x number of years smoked divided by 20.,Not specified,Not specified
tobacco_smoking_onset_year,integer,The year in which the participant began smoking.,Not specified,Not specified
tobacco_smoking_quit_year,integer,The year in which the participant quit smoking.,Not specified,Not specified
use_per_day,number,The average number of times the patient used per day.,Not specified,Not specified
years_smoked,number,Numeric value (or unknown) to represent the number of years a person has been smoking.,Not specified,Not specified
age_at_index,,The patient's age (in years) on the reference or anchor date used during date obfuscation.,89,0
age_is_obfuscated,boolean,The age or other properties related to the patient's age have been modified for compliance reasons. The actual age may differ from what was reported in order to comply with the Health Insurance Portability and Accountability Act (HIPAA).,Not specified,Not specified
days_to_birth,integer,Number of days between the date used for index and the date from a person's date of birth represented as a calculated negative number of days.,Not specified,Not specified
year_of_birth,,Numeric value to represent the calendar year in which an individual was born.,Not specified,1900
year_of_death,integer,Numeric value to represent the year of the death of an individual.,Not specified,Not specified
